Site Code ,Device,Router Label,IP_Network,Broadcast address,Gateway,Subnetmask,Vlan descrtiption,VLAN ID ,VLANServiceType
DMZ5513,DMZ5513-ATN,DMZ5513_ATN,10.33.87.129,10.33.87.159,,255.255.255.224,DMZREP,984,Abis
DMZ5513,DMZ5513-ATN,DMZ5513_ATN,10.33.21.129,10.33.21.159,,255.255.255.224,DMZREP,974,Abis
DMZ5513,DMZ5513-ATN,DMZ5513_ATN,10.33.21.225,10.33.21.255,,255.255.255.224,DMZREP,979,Iub
DMZ5513,DMZ5513-ATN,DMZ5513_ATN,10.33.21.1,10.33.21.31,,255.255.255.224,DMZREP,971,Iub
DMZ5513,DMZ5513-ATN,DMZ5513_ATN,10.33.32.193,10.33.32.223,,255.255.255.224,DMZREP,1188,S1
DMZ5513,DMZ5513-ATN,DMZ5513_ATN,10.33.114.1,10.33.114.15,,255.255.255.224,DMZREP,1184,S1
DMZ5513,DMZ5513-ATN,DMZ5513_ATN,10.66.21.225,10.66.21.255,,255.255.255.224,DMZREP,879,OAM
DMZ5513,DMZ5513-ATN,DMZ5513_ATN,10.66.21.1,10.66.21.31,,255.255.255.224,DMZREP,871,OAM
DNG2411,DNG-NE8000-M14,DNG-NE8000-M14,10.66.36.33,10.66.36.63,,255.255.255.224,DNGLA,895,OAM
DNG2411,DNG-NE8000-M14,DNG-NE8000-M14,10.66.36.161,10.66.36.191,,255.255.255.224,DNGLA,896,OAM
DNG2411,DNG-NE8000-M14,DNG-NE8000-M14,10.66.11.193,10.66.11.223,,255.255.255.224,DNGLA,815,OAM
DNG2411,DNG-NE8000-M14,DNG-NE8000-M14,10.33.76.2,10.33.76.63,,255.255.255.224,DNGLA,2114,Abis
DNG2411,DNG-NE8000-M14,DNG-NE8000-M14,10.33.68.1,10.33.68.15,,255.255.255.240,DNGLA,2110,Abis
DNG2411,DNG-NE8000-M14,DNG-NE8000-M14,10.33.36.161,10.33.36.191,,255.255.255.224,DNGLA,996,Iub
DNG2411,DNG-NE8000-M14,DNG-NE8000-M14,10.33.36.1,10.33.36.15,,255.255.255.240,DNGLA,990,Iub
DNG2411,DNG-NE8000-M14,DNG-NE8000-M14,10.33.11.193,10.33.11.223,,255.255.255.224,DNGLA,995,Iub
GDR4404,GDR-MPBN-NE8000-01,NE8000-M14-RSG-GDR4404-001,10.66.9.97,10.66.9.127,,255.255.255.224,GDR4404,833,OAM
GDR4404,GDR-MPBN-NE8000-01,NE8000-M14-RSG-GDR4404-001,10.66.9.129,10.66.9.159,,255.255.255.224,GDR4404,834,OAM
GDR4404,GDR-MPBN-NE8000-01,NE8000-M14-RSG-GDR4404-001,10.66.9.161,10.66.9.191,,255.255.255.224,GDR4404,835,OAM
GDR4404,GDR-MPBN-NE8000-01,NE8000-M14-RSG-GDR4404-001,10.66.9.225,10.66.9.255,,255.255.255.224,FAW3,837,OAM
GDR4404,GDR-MPBN-NE8000-01,NE8000-M14-RSG-GDR4404-001,10.66.22.193,10.66.22.223,,255.255.255.224,DWAIM,889,OAM
GDR4404,GDR-MPBN-NE8000-01,NE8000-M14-RSG-GDR4404-001,10.66.46.34,10.66.46.63,,255.255.255.224,GDR4404,3291,OAM
GDR4404,GDR-MPBN-NE8000-01,NE8000-M14-RSG-GDR4404-001,10.33.90.2,10.33.48.31,10.33.90.1,255.255.255.224,FAW Abis_VOIP,2630,Abis
GDR4404,GDR-MPBN-NE8000-02,NE8000-M14-RSG-GDR4404-002,10.33.90.3,10.33.48.31,10.33.90.1,255.255.255.224,FAW Abis_VOIP,2630,Abis
GDR4404,GDR-MPBN-NE8000-01,NE8000-M14-RSG-GDR4404-001,10.33.90.66,10.33.90.95,10.33.90.65,255.255.255.224,Gadarif Abis_VOIP,2632,Abis
GDR4404,GDR-MPBN-NE8000-02,NE8000-M14-RSG-GDR4404-002,10.33.90.67,10.33.90.95,10.33.90.65,255.255.255.224,Gadarif Abis_VOIP,2632,Abis
GDR4404,GDR-MPBN-NE8000-01,NE8000-M14-RSG-GDR4404-001,10.33.90.98,10.33.90.127,10.33.90.97,255.255.255.224,Gadarif Abis_VOIP,2633,Abis
GDR4404,GDR-MPBN-NE8000-02,NE8000-M14-RSG-GDR4404-002,10.33.90.99,10.33.90.127,10.33.90.97,255.255.255.224,Gadarif Abis_VOIP,2633,Abis
GDR4404,GDR-MPBN-NE8000-01,NE8000-M14-RSG-GDR4404-001,10.33.98.1,10.33.98.31,,255.255.255.224,SINRPT,2636,Abis
GDR4404,GDR-MPBN-NE8000-01,NE8000-M14-RSG-GDR4404-001,10.33.98.33,10.33.98.63,,255.255.255.224,SINGA,2637,Abis
